Drug_Name,Category,Dosage_Form,Strength,Manufacturer,Indication,Classification
Albuterol,Anticoagulant,IV Infusion,250mg,Johnson & Johnson,Moderate to severe pain management,Prescription
Neosporin,Antihistamine,Gel,100mg,P&G,Heartburn and acid reflux,Over-the-Counter
Clotrimazole,Topical Anesthetic,Lozenge,25mg,GSK,Allergic rhinitis and hives,Over-the-Counter
Salicylic Acid,Analgesic,Ointment,5mg,P&G,Blood clot prevention,Over-the-Counter
Loperamide,Analgesic,Lozenge,400mg,Reckitt,Chest congestion and mucus relief,Over-the-Counter
Dexamethasone,Anxiolytic/Benzodiazepine,Topical Solution,100mcg,Johnson & Johnson,Hypertension and heart failure,Prescription
Calcium Carbonate,Antacid,Cream,100mg,P&G,Chest congestion and mucus relief,Over-the-Counter
Dexamethasone,Calcium Channel Blocker,Nasal Spray,50mg,Johnson & Johnson,Asthma and allergic rhinitis,Prescription
Hydrocodone,Antibiotic,IV Infusion,1000mg,AstraZeneca,Epilepsy and neuropathic pain,Prescription
Cetirizine,Sleep Aid,Gel,150mg,Chattem,Minor pain and itching relief,Over-the-Counter
Acetaminophen,Acne Treatment,Liquid,200mg,Reckitt,Skin inflammation and itching,Over-the-Counter
Sertraline,Antifungal,Inhaler,250mg,Boehringer Ingelheim,GERD and peptic ulcer disease,Prescription
Dexamethasone,Anticoagulant,IV Infusion,1mg,AstraZeneca,Moderate to severe pain management,Prescription
Pantoprazole,Bronchodilator,Nasal Spray,50mcg,Abbott,High cholesterol management,Prescription
Loratadine,Topical Corticosteroid,Ointment,150mg,Chattem,Fungal skin infections,Over-the-Counter
Fluoxetine,PPI,Sublingual Tablet,250mg,Novartis,High cholesterol management,Prescription
Lidocaine Cream,Antiemetic,Spray,250mg,Johnson & Johnson,Chest congestion and mucus relief,Over-the-Counter
Hydrocodone,Anticonvulsant,Patch,2mg,Pfizer,High cholesterol management,Prescription
Dexamethasone,Calcium Channel Blocker,Suppository,100mcg,Abbott,Fungal infections treatment,Prescription
Clindamycin,Leukotriene Inhibitor,Capsule,0.25mg,Gilead Sciences,Bacterial infections treatment,Prescription
Lisinopril,Leukotriene Inhibitor,Injection,250mg,Sanofi,Anxiety and panic disorders,Prescription
Loratadine,Acne Treatment,Cream,125mg,GSK,Blood clot prevention,Over-the-Counter
Simethicone,Antacid/PPI,Cream,200mg,GSK,Skin inflammation and itching,Over-the-Counter
Ciprofloxacin,ACE Inhibitor,Suppository,100mg,Boehringer Ingelheim,Hypertension and angina,Prescription
Simethicone,Antiemetic,Liquid,500mg,Pfizer,Motion sickness and nausea,Over-the-Counter
Montelukast,Corticosteroid,Extended Release Tablet,50mg,Gilead Sciences,Fungal infections treatment,Prescription
Bismuth Subsalicylate,Sleep Aid,Capsule,400mg,GSK,Pain relief and fever reduction,Over-the-Counter
Pantoprazole,Bronchodilator,Tablet,75mg,AstraZeneca,Hypertension and heart failure,Prescription
Albuterol,Antiplatelet,Tablet,50mg,Amgen,Fungal infections treatment,Prescription
Gabapentin,Leukotriene Inhibitor,Topical Solution,50mcg,Amgen,Moderate to severe pain management,Prescription
Loratadine,Antacid/PPI,Chewable Tablet,250mg,Reckitt,Blood clot prevention,Over-the-Counter
Magnesium Hydroxide,Topical Corticosteroid,Powder,150mg,Bayer,Constipation relief,Over-the-Counter
Aspirin,Laxative,Liquid,50mg,Unilever,Gas and bloating relief,Over-the-Counter
Naproxen,Antiflatulent,Drops,125mg,P&G,Gas and bloating relief,Over-the-Counter
Clindamycin,Anxiolytic/Benzodiazepine,Patch,25mg,Abbott,Epilepsy and neuropathic pain,Prescription
Naproxen,Topical Anesthetic,Ointment,5mg,P&G,Heartburn and indigestion,Over-the-Counter
Montelukast,PPI,Patch,0.5mg,GlaxoSmithKline,Epilepsy and neuropathic pain,Prescription
Bacitracin,Topical Corticosteroid,Drops,125mg,P&G,GERD and peptic ulcer,Over-the-Counter
Famotidine,Expectorant,Spray,1%,Chattem,Insomnia and sleep aid,Over-the-Counter
Fluoxetine,Leukotriene Inhibitor,Injection,1mg,Sanofi,Hypertension and heart failure,Prescription
Amlodipine,PPI,Suppository,400mcg,Abbott,Inflammation and autoimmune disorders,Prescription
Bismuth Subsalicylate,Antifungal,Tablet,2%,Pfizer,Chest congestion and mucus relief,Over-the-Counter
Montelukast,Statin,Topical Solution,25mg,GlaxoSmithKline,Epilepsy and neuropathic pain,Prescription
Loperamide,Antiflatulent,Ointment,5%,Sanofi,Minor wound infection prevention,Over-the-Counter
Fluoxetine,Anxiolytic/Benzodiazepine,Sublingual Tablet,2mg,Sanofi,Bacterial infections treatment,Prescription
Magnesium Hydroxide,Antacid,Tablet,2%,Novartis,Nasal congestion relief,Over-the-Counter
Aluminum Hydroxide,Acne Treatment,Ointment,200mg,Prestige Brands,Pain relief and fever reduction,Over-the-Counter
Calcium Carbonate,Decongestant,Ointment,125mg,GSK,Fungal skin infections,Over-the-Counter
Acetaminophen,Antiplatelet,Liquid,400mg,GSK,Pain relief and fever reduction,Over-the-Counter
Bacitracin,Sleep Aid,Drops,400mg,Novartis,Fungal skin infections,Over-the-Counter
Cetirizine,Antacid,Lozenge,325mg,Bayer,Acne treatment,Over-the-Counter
Lisinopril,Calcium Channel Blocker,Extended Release Tablet,0.25mg,Merck,Epilepsy and neuropathic pain,Prescription
Miconazole,Antacid/H2 Blocker,Liquid,250mg,Unilever,GERD and peptic ulcer,Over-the-Counter
Warfarin,Corticosteroid,Nasal Spray,250mg,Novartis,Type 2 diabetes management,Prescription
Omeprazole,Topical Antibiotic,Gel,2%,Johnson & Johnson,Gas and bloating relief,Over-the-Counter
Amlodipine,Antidepressant/SSRI,Patch,75mg,Boehringer Ingelheim,Hypertension and heart failure,Prescription
Calcium Carbonate,Skin Protectant,Liquid,25mg,Reckitt,Diarrhea treatment,Over-the-Counter
Clopidogrel,Antidepressant/SSRI,Nasal Spray,50mg,Roche,GERD and peptic ulcer disease,Prescription
Omeprazole,Antacid/PPI,Tablet,2%,GSK,Minor cuts and skin protection,Over-the-Counter
Clotrimazole,Antacid/H2 Blocker,Lozenge,50mg,P&G,Gas and bloating relief,Over-the-Counter
